 cycle    n_walkers   left-most bin  right-most bin   flux
   0         20           18             21           0.00000000
   1         35           16             22           0.00000000
   2         45           13             22           0.00000000
   3         50           11             22           0.00000000
   4         60            9             22           0.00000000
   5         70            9             22           0.00000000
   6         70            9             22           0.00000000
   7         70            9             22           0.00000000
   8         65            9             22           0.00000000
   9         70            9             22           0.00000000
  10         70            9             22           0.00000000
  11         70            2             22           0.00000000
  12         80            2             22           0.00000000
  13         85            1             22           0.00002354
  14         80            1             22           0.00000942
  15         85            1             22           0.00000000
  16         80            1             22           0.00158191
  17         80            1             22           0.00028893
  18         80            1             22           0.00005779
  19         85            1             22           0.00000000
  20         85            1             22           0.00015201
  21         85            1             22           0.00000000
  22         90            1             22           0.00061204
  23         85            1             22           0.00024856
  24         75            1             22           0.00000696
  25         80            1             22           0.00000000
  26         80            1             22           0.00001340
  27         85            1             22           0.00000000
  28         85            1             22           0.00000000
  29         90            1             22           0.00003843
  30         85            1             22           0.00000000
  31         80            1             22           0.00000000
  32         85            1             22           0.00011633
  33         80            1             22           0.00000000
  34         85            1             22           0.00000000
  35         85            1             22           0.00001393
  36         80            1             22           0.00000000
  37         80            1             22           0.00000000
  38         80            1             22           0.00027701
  39         80            1             22           0.00028743
  40         90            1             22           0.00164460
  41         85            1             22           0.00018635
  42         85            1             22           0.00001981
  43         75            1             22           0.00000000
  44         80            1             22           0.00002207
  45         80            1             22           0.00018958
  46         90            1             22           0.00000000
  47         90            1             22           0.00000000
  48         85            1             22           0.00174381
  49         85            1             22           0.00003541
  50         85            1             22           0.00000000
  51         95            1             22           0.00000000
  52         85            1             22           0.00000000
  53         85            1             22           0.00000000
  54         85            1             22           0.00077454
  55         80            1             22           0.00036977
  56         85            1             22           0.00000000
  57         90            1             22           0.00016701
  58         85            1             22           0.00000267
  59         80            1             22           0.00000843
  60         95            1             22           0.00010714
  61         95            1             22           0.00000000
  62         90            1             22           0.00003936
  63         80            1             22           0.00110293
  64         85            1             22           0.00191618
  65         80            1             22           0.00011266
  66         80            1             22           0.00000000
  67         90            1             22           0.00030096
  68         70            1             22           0.00011266
  69         75            1             22           0.00022367
  70         85            1             22           0.00000000
  71         80            1             22           0.00000000
  72         95            1             22           0.00053513
  73         85            1             22           0.00047895
  74         80            1             22           0.00000000
  75         80            1             22           0.00000000
  76         90            1             22           0.00053879
  77         90            1             22           0.00000000
  78         95            1             22           0.00014865
  79        100            1             22           0.00049723
  80         85            1             22           0.00000000
  81         80            1             22           0.00006724
  82         80            1             22           0.00000000
  83         80            1             22           0.00015540
  84         85            1             22           0.00000000
  85         80            1             22           0.00005474
  86         75            1             22           0.00034733
  87         85            1             22           0.00015069
  88         90            1             22           0.00016178
  89         85            1             22           0.00008539
  90         90            1             22           0.00027627
